status,open,close,type,account_id,client_id,value
Active,2017-11-12,,Roth IRA,466,154,115455.75551116589
Active,2018-04-24,,Brokerage,467,154,1609.08844582754
Active,2014-03-19,,Roth 401(k),468,154,140308.3635433277
Active,2017-07-12,,Traditional IRA,469,154,18786.75353369212
Active,2009-12-01,,Roth IRA,470,155,254136.2153524018
Active,2017-01-25,,Brokerage,471,155,18815.31158983814
Active,2007-09-20,,529,472,155,7319.5684540377115
Inactive,2009-08-19,2015-11-30,Roth 401(k),473,155,64088.35445591547
Active,2010-06-01,,Traditional IRA,474,155,281490.627758345
Active,2010-02-10,,529,475,156,2678.659096340267
Active,2009-06-09,,Roth 401(k),476,156,23067.050004619683
Inactive,2008-11-30,2014-11-08,Traditional IRA,477,157,14990.620111942855
Inactive,2010-09-01,2014-04-17,529,478,157,10385.838265116383
Active,2017-09-10,,Roth 401(k),479,157,10104.592266019483
Active,2016-08-18,,Roth 401(k),480,158,15637.741881866325
Active,2010-08-08,,Roth IRA,481,159,6237.396456032236
Active,2013-07-06,,529,482,159,3991.8135602163948
Active,2005-08-27,,Brokerage,483,159,23697.120348879253
Active,2017-11-15,,529,484,160,5367.270695478848
Active,2014-07-09,,Traditional IRA,485,160,16506.641668575645
Active,2018-06-27,,Roth IRA,486,160,56450.47057455331
Active,2017-08-22,,Roth 401(k),487,160,12723.897813600459
Active,2014-08-07,,Brokerage,488,160,15877.953897341587
Active,2011-02-05,,Roth 401(k),489,161,10408.277112203212
Active,2008-08-26,,Traditional IRA,490,161,222501.06961973177
Active,2018-01-24,,Brokerage,491,162,16007.118847754726
Active,2018-03-05,,529,492,162,14889.700592839681
Active,2017-12-11,,Traditional IRA,493,163,4719.712124615804
Active,2018-03-26,,Brokerage,494,163,15637.489173104692
Active,2018-03-15,,Roth IRA,495,163,225762.36749260925
Active,2015-04-07,,Roth 401(k),496,164,20490.474579116693
Active,2010-06-08,,Brokerage,497,164,9989.74107964942
Active,2012-01-04,,Roth IRA,498,164,12293.924381555711
Active,2018-04-22,,Traditional IRA,499,164,13054.773457264313
Active,2010-08-22,,529,500,164,7881.764293147105
Active,2018-07-03,,Brokerage,501,165,15420.018963964409
Active,2017-07-20,,Roth IRA,502,165,15117.766694053636
Active,2002-04-02,,Brokerage,503,166,278605.4296457422
Active,2010-01-27,,Traditional IRA,504,166,14881.983996472092
Active,2017-10-09,,Roth IRA,505,166,4689.3834022271185
Active,2008-06-26,,Roth IRA,506,167,19758.03214882412
Active,2017-05-31,,Roth IRA,507,168,2160.2916322822484
Active,2018-05-22,,529,508,168,13529.631571648988
Active,2014-05-29,,Roth IRA,509,169,15609.881387304524
Active,2006-12-03,,Brokerage,510,169,11561.278038069504
Active,2007-10-02,,Traditional IRA,511,169,13318.460459632022
Active,2007-11-26,,529,512,169,17977.15058750252
Active,2018-05-16,,529,513,170,19480.826569212673
Active,2016-02-06,,529,514,171,21497.895492878444
Active,2015-07-15,,Traditional IRA,515,171,19265.028701873773
Active,2017-05-22,,Brokerage,516,171,15698.93352304181
Active,2018-03-30,,Roth IRA,517,171,16768.637619712288
Active,2015-01-14,,Brokerage,518,172,7887.923645224746
Active,2014-06-04,,Roth IRA,519,172,212730.11173279327
Active,2014-10-02,,529,520,173,20797.962321777075
Active,2018-03-03,,Roth IRA,521,173,124236.71827566308
Active,2014-03-23,,Roth 401(k),522,173,6814.868685510271
Active,2016-08-16,,Brokerage,523,173,23701.24107117982
Active,2016-12-25,,Traditional IRA,524,173,22739.917910346405
Inactive,2017-09-08,2018-02-05,Brokerage,525,174,1894.0742729912054
Active,2017-04-24,,529,526,174,19313.154111034808
Active,2015-09-07,,Traditional IRA,527,174,8482.387925716093
Active,2017-08-29,,Roth 401(k),528,174,11457.848862544253
Active,2015-12-05,,Brokerage,529,175,247448.6146477337
Active,2013-03-18,,Traditional IRA,530,175,23349.123266133105
Active,2017-05-09,,529,531,176,247407.79238715005
Active,2007-01-31,,Traditional IRA,532,177,19479.350905223688
Active,2014-04-29,,529,533,177,21177.65430867938
Inactive,2006-04-21,2015-03-03,Roth IRA,534,177,21647.166047040162
Active,2008-02-27,,Roth 401(k),535,177,6818.3285411415145
Active,2015-03-29,,Roth 401(k),536,178,11001.846744250823
Inactive,2014-07-26,2017-02-16,Brokerage,537,178,16250.225942499788
Active,2011-07-20,,Roth IRA,538,178,1045.797459810303
Active,2007-10-28,,529,539,178,8520.088521466392
Active,2015-05-02,,Traditional IRA,540,178,17016.397008468048
Active,2015-01-10,,Roth 401(k),541,179,24702.392197543584
Active,2015-12-01,,Brokerage,542,179,61511.2335775793
Active,2016-06-29,,Roth IRA,543,179,230077.38760699396
Active,2012-01-25,,Traditional IRA,544,179,3889.226107100427
Active,2008-12-22,,Roth 401(k),545,180,20359.1670342701
Active,2015-04-18,,Roth IRA,546,180,6440.766453657901
Active,2016-11-08,,Traditional IRA,547,180,24073.33915437737
Active,2016-05-21,,529,548,181,9596.07174306374
Inactive,2014-07-12,2017-02-19,Traditional IRA,549,181,21716.23716839959
Active,2014-02-28,,Roth IRA,550,181,5957.09249188645
Active,2013-04-03,,Brokerage,551,181,121291.03700226969
Active,2011-09-09,,Roth 401(k),552,181,9496.130968695099
Active,2018-05-03,,Roth IRA,553,182,12319.458323976261
Active,2016-12-30,,529,554,182,247250.15142551658
Active,2012-12-07,,Traditional IRA,555,182,22273.091292346966
Active,2016-03-09,,Roth 401(k),556,182,10238.86317119231
Active,2017-09-07,,Brokerage,557,182,17649.671546725916
Active,2006-11-01,,Roth 401(k),558,183,5006.074120544383
Active,2009-12-13,,Brokerage,559,183,12789.455401849833
Active,2012-12-27,,Traditional IRA,560,184,17683.898916969563
Active,2016-11-24,,529,561,185,1459.676557800651
Inactive,2016-10-09,2017-10-21,Brokerage,562,185,19134.36311473394
Active,2009-09-05,,Roth 401(k),563,186,9945.780275123401
Active,2005-01-21,,Brokerage,564,186,16815.875467150156
Active,2013-05-26,,Roth 401(k),565,187,6366.651510504317
Active,2008-02-24,,Traditional IRA,566,187,14782.434528186577
Active,2013-05-10,,529,567,187,13734.530338878403
Active,2007-11-01,,Roth IRA,568,187,21180.73657523227
Active,2009-08-29,,Brokerage,569,187,2543.1420234112093
Active,2016-05-15,,Traditional IRA,570,188,24505.466670868853
Inactive,2016-01-28,2018-07-03,Brokerage,571,188,19468.136923809143
Active,2017-06-15,,Roth IRA,572,188,9526.518575046835
Active,2017-12-25,,Brokerage,573,189,16637.781312469087
Inactive,2018-04-02,2018-09-09,Roth IRA,574,190,23285.840361364895
Active,2016-09-03,,529,575,190,10034.549969758227
Active,2013-04-11,,Roth 401(k),576,190,13005.43522146437
Inactive,2017-10-24,2018-03-12,Traditional IRA,577,190,211168.862474113
Active,2014-05-14,,Brokerage,578,190,15710.39256811038
Active,2015-10-10,,Roth IRA,579,191,10765.14079946936
Active,2016-01-25,,Brokerage,580,191,9401.558650320098
Inactive,2018-05-28,2018-10-25,Traditional IRA,581,191,18854.764965932314
Active,2014-11-27,,Roth 401(k),582,191,19981.667009608416
Active,2016-08-09,,529,583,191,22786.861830556012
Active,2017-12-24,,529,584,192,3027.589027896367
Active,2015-08-02,,Traditional IRA,585,193,10697.525600131625
Active,2016-01-29,,529,586,193,18587.45128817221
Active,2014-01-22,,Roth 401(k),587,193,10667.770246029124
Active,2012-04-03,,529,588,194,21767.203044367718
Inactive,2013-03-11,2014-02-17,Traditional IRA,589,194,72840.18164146473
Active,2013-05-29,,Roth 401(k),590,194,20127.156608514375
Active,2012-11-23,,Roth 401(k),591,195,4604.977131228479
Active,2016-03-16,,Brokerage,592,195,3398.0665186156875
Inactive,2013-08-05,2015-04-26,Traditional IRA,593,195,3481.4980476515043
Active,2017-11-11,,529,594,196,70406.68337254181
Active,2013-03-10,,Brokerage,595,197,21964.511150645394
Active,2018-02-18,,Roth 401(k),596,198,12132.399212168264
Active,2017-11-13,,Brokerage,597,198,24386.027245687128
Active,2016-11-08,,Roth 401(k),598,199,16608.452751144483
Active,2014-05-02,,529,599,199,4012.2100601822126
Active,2017-09-26,,Brokerage,600,200,15398.015143399032
Active,2018-01-09,,529,601,200,14828.125535537814
Active,2016-09-20,,Roth 401(k),602,201,11863.3063416766
Active,2016-05-08,,Roth IRA,603,201,21238.94958952564
Active,2011-05-23,,Brokerage,604,201,4268.717934684126
Active,2014-12-27,,Brokerage,605,202,1649.4750986178942
Active,2018-02-05,,Roth 401(k),606,202,3216.0582206640083
Active,2010-10-02,,529,607,202,21859.236360489012
Active,2004-09-29,,529,608,203,2623.3144184648013
Active,2015-01-23,,Traditional IRA,609,204,14767.027454099763
Active,2005-10-07,,Roth 401(k),610,204,7611.297699967524
Active,2014-09-04,,529,611,204,21657.308685020478
Active,2015-02-19,,Brokerage,612,204,6691.739440807593
Active,2017-09-07,,Roth IRA,613,205,24238.649334252234
Active,2010-09-16,,Roth 401(k),614,205,10878.843088199224
Active,2011-08-12,,529,615,205,4566.488651535496
Active,2006-05-06,,Traditional IRA,616,205,14502.960012494923
Active,2006-11-12,,Brokerage,617,205,7388.169375870113
Active,2017-10-04,,529,618,206,21516.20788770381
Active,2017-06-26,,Traditional IRA,619,207,23383.094262950806
Active,2012-05-05,,Roth 401(k),620,208,1195.0243298185158
Inactive,2015-05-05,2016-08-14,Traditional IRA,621,209,13606.295402566664
Active,2014-02-16,,529,622,209,18064.802765674063
Active,2014-10-16,,Roth 401(k),623,209,3424.924243992872
Active,2012-11-21,,Brokerage,624,209,18677.533133032175
Active,2016-03-11,,529,625,210,20607.24584036428
Active,2017-02-19,,Roth 401(k),626,210,2851.9988341253697
Inactive,2017-05-19,2018-06-04,Roth IRA,627,210,19785.232867373623
Active,2010-06-22,,Brokerage,628,210,21336.77193301698
Active,2018-06-09,,Brokerage,629,211,2488.2699356274916
Active,2017-02-11,,Traditional IRA,630,211,178949.85854838666
Active,2006-08-13,,Roth 401(k),631,212,8203.124026637845
Active,2011-08-19,,Roth 401(k),632,213,11481.653987187858
Active,2005-11-10,,Brokerage,633,213,1881.7862763694534
Active,2012-02-27,,529,634,213,1149.3399764360256
Active,2017-05-15,,Traditional IRA,635,214,6909.402552079639
Active,2014-10-22,,Brokerage,636,214,11162.24783591543
Inactive,2012-02-29,2017-06-28,Traditional IRA,637,215,23703.534629679223
Active,2018-06-29,,Roth IRA,638,215,23476.752013414804
Active,2013-01-10,,Roth 401(k),639,215,1606.4190495287917
Active,2016-06-07,,Roth 401(k),640,216,14459.242961013464
Active,2016-04-24,,Traditional IRA,641,216,24386.877293318877
Active,2016-09-10,,529,642,216,7102.1831662210725
Active,2017-05-06,,Brokerage,643,216,6522.466399071774
Active,2018-04-07,,Roth 401(k),644,217,4199.616905729799
Active,2018-05-24,,529,645,217,11307.220963994778
Active,2009-08-12,,Roth 401(k),646,218,13523.146952698844
Active,2018-01-17,,529,647,218,16859.525412173563
Active,2009-04-22,,Roth IRA,648,218,197198.8449794102
Active,2009-05-06,,Brokerage,649,218,21948.590606726222
Inactive,2009-08-04,2012-12-06,Traditional IRA,650,218,6350.742079272972
Active,2018-07-23,,Brokerage,651,219,5026.328943618551
Active,2013-03-05,,Roth IRA,652,219,10323.262943901549
Active,2014-09-22,,529,653,219,20923.36327362513
Active,2015-12-05,,Traditional IRA,654,219,3571.789880106408
Active,2013-07-15,,Roth 401(k),655,219,12865.77195057006
Active,2016-10-31,,Traditional IRA,656,220,10449.007523457227
Inactive,2018-07-05,2018-10-27,529,657,220,16331.058179115069
Active,2016-09-18,,Roth IRA,658,220,24693.691896493357
Active,2016-08-17,,Brokerage,659,220,11425.681362655794
Active,2017-02-10,,Roth 401(k),660,220,1280.7445522289465
Active,2009-08-06,,Roth IRA,661,221,15324.968016481555
Active,2013-06-01,,Roth 401(k),662,221,10017.923429098397
Active,2012-07-13,,Traditional IRA,663,221,13861.461398749221
Active,2017-06-24,,Roth 401(k),664,222,20791.647985772346
Active,2018-04-17,,Roth IRA,665,222,21680.287931463015
Active,2015-05-10,,Traditional IRA,666,222,3265.3477142593747
Active,2016-10-31,,Roth 401(k),667,223,5595.9569691608385
Inactive,2016-11-13,2017-12-31,529,668,223,24311.36282502701
Active,2012-06-05,,Roth IRA,669,223,17414.326254074884
Active,2010-06-30,,Roth IRA,670,224,17600.225885472748
Active,2012-04-20,,Roth 401(k),671,224,11275.726210340505
Active,2008-08-01,,Traditional IRA,672,225,17967.303797156368
Active,2017-07-16,,529,673,225,23936.900865280033
Active,2017-08-19,,Roth IRA,674,225,6323.907326687373
Active,2011-10-19,,Brokerage,675,225,272313.0502715841
Active,2018-02-25,,Traditional IRA,676,226,5240.680515658125
Active,2007-12-07,,Roth IRA,677,226,24552.58713628412
Active,2010-09-05,,Brokerage,678,226,16782.8911337167
Active,2012-10-05,,529,679,226,16047.55351842738
Active,2004-12-23,,Roth 401(k),680,226,15125.33378999759
Active,2003-03-06,,Brokerage,681,227,22348.284369386525
Active,2009-12-07,,Roth IRA,682,227,3276.3571883908835
Active,2010-05-26,,529,683,227,23831.06295346039
Active,2016-11-29,,Traditional IRA,684,227,15916.322022231738
Active,2017-05-13,,Roth 401(k),685,228,4072.5686017325834
Inactive,2016-01-29,2016-05-20,Roth IRA,686,228,12582.758103855924
Active,2011-05-13,,Roth 401(k),687,229,16392.060761167093
Active,2007-02-14,,529,688,229,4695.5031031165
Active,2009-02-28,,Traditional IRA,689,229,20079.4937891329
Active,2016-06-07,,Brokerage,690,229,24461.875099868328
Inactive,2006-08-15,2010-07-27,Roth IRA,691,229,17487.95987720581
Active,2007-09-11,,529,692,230,12294.22725836073
Active,2018-05-15,,Roth 401(k),693,231,122484.30410722712
Active,2015-09-14,,Traditional IRA,694,231,10005.346303996266
Active,2017-06-22,,Brokerage,695,231,16716.17962617075
Active,2012-12-04,,Roth 401(k),696,232,11247.64552499272
Active,2012-10-20,,Roth IRA,697,232,14526.674704175675
Active,2015-04-27,,Brokerage,698,232,18448.435221124157
Inactive,2013-01-28,2014-08-20,Traditional IRA,699,232,7698.039561324481
Active,2014-02-04,,Traditional IRA,700,233,9637.747073955601
Active,2013-06-10,,Brokerage,701,233,18228.346534632597
Active,2010-10-20,,Roth IRA,702,233,3404.270975200096
Active,2016-06-03,,Roth IRA,703,234,19336.32795894093
Active,2013-11-17,,Traditional IRA,704,234,5071.199441196977
Active,2001-12-16,,Brokerage,705,234,18703.20902230596
Active,2013-11-11,,529,706,234,15488.753311490926
Active,2010-08-01,,Roth IRA,707,235,15013.635836317106
Active,2015-02-24,,Traditional IRA,708,235,4915.2994292187705
Active,2010-06-21,,Roth 401(k),709,235,3306.071969846764
Active,2013-03-19,,529,710,235,22453.02342850656
Active,2016-06-21,,Brokerage,711,235,15607.843136227671
Active,2018-04-09,,Traditional IRA,712,236,18623.055907577454
Active,2016-12-16,,Traditional IRA,713,237,24757.073461090993
Active,2017-02-20,,Roth IRA,714,237,11126.396872984229
Active,2014-08-24,,529,715,238,14580.787294710002
Active,2009-11-09,,Roth 401(k),716,238,155945.19957427727
Active,2011-09-14,,Brokerage,717,238,9166.100439773312
Active,2011-06-23,,Roth 401(k),718,239,21023.3731374
Inactive,2007-10-14,2018-07-01,Traditional IRA,719,239,8433.345746967076
Active,2017-12-11,,529,720,239,7400.914115580123
Active,2013-06-06,,Roth IRA,721,239,3906.1714667186898
Active,2010-12-09,,Traditional IRA,722,240,55955.797414504246
Active,2007-08-06,,Roth IRA,723,240,17988.264350909896
Active,2009-11-04,,Traditional IRA,724,241,99378.70273418323
Inactive,2014-01-13,2016-06-16,Roth IRA,725,241,10283.92178542731
Active,2011-10-09,,Brokerage,726,241,7643.44327956434
Active,2016-12-23,,Traditional IRA,727,242,272925.06128664024
Inactive,2011-12-03,2017-09-23,529,728,242,19859.553647503428
Active,2015-01-03,,Roth 401(k),729,242,6860.474300688641
Active,2008-12-21,,Traditional IRA,730,243,212346.66752949613
Active,2006-11-25,,Roth 401(k),731,243,16414.398798238133
Active,2007-02-26,,Brokerage,732,243,15553.772924199982
Active,2013-12-17,,Roth IRA,733,243,3703.3786508906205
Active,2001-08-31,,529,734,243,8931.281357176013
Active,2016-06-19,,Brokerage,735,244,14462.695322791718
Active,2009-07-16,,529,736,244,24324.356844645477
Active,2015-10-05,,Roth 401(k),737,244,19850.169583599767
Active,2012-11-23,,Traditional IRA,738,244,21685.10670253112
Active,2012-01-06,,Roth IRA,739,244,23525.27611260748
Active,2015-04-06,,Brokerage,740,245,20483.077104175478
Active,2008-11-27,,Traditional IRA,741,245,21621.881086366502
Active,2017-07-04,,Roth IRA,742,245,226118.57010700833
Active,2008-06-03,,Roth 401(k),743,245,8599.782280183317
Active,2017-04-08,,529,744,245,13235.736862290134
Active,2014-08-29,,Roth IRA,745,246,24578.155654768983
Active,2017-04-08,,Traditional IRA,746,246,11876.55826776362
Active,2018-06-19,,Brokerage,747,247,11943.485243069417
Active,2018-02-17,,529,748,247,15850.528824598741
Active,2018-01-11,,Roth IRA,749,247,2745.119724328431
Active,2018-05-06,,Traditional IRA,750,247,239308.1451524811
Active,2018-07-16,,Roth 401(k),751,247,1064.6930617921173
Active,2006-08-04,,Traditional IRA,752,248,19636.11035473147
Active,2002-07-20,,Roth 401(k),753,248,14049.850279340897
Active,2010-10-02,,Brokerage,754,249,13845.1969571998
Inactive,2009-12-04,2014-04-27,Roth IRA,755,249,12510.70353601998
Inactive,2016-05-26,2018-06-03,Traditional IRA,756,250,2320.4775416680213
Active,2011-10-11,,Roth IRA,757,251,2610.2051536403037
Inactive,2009-03-20,2011-09-03,529,758,251,19751.258551122195
Active,2018-03-14,,Roth IRA,759,252,10421.474728601299
Active,2017-08-17,,Roth 401(k),760,252,15866.340108467777
Active,2017-11-02,,Traditional IRA,761,252,14072.514971851822
Active,2018-03-27,,Brokerage,762,252,23909.59027049049
Active,2018-05-17,,529,763,252,7048.245000056858
Inactive,2011-03-08,2014-11-13,Roth IRA,764,253,22752.529840489282
Active,2013-04-30,,529,765,253,1516.45376703424
Active,2017-09-20,,Brokerage,766,254,6496.146385630387
Inactive,2017-11-17,2018-06-05,Roth 401(k),767,254,22356.790496399706
Active,2011-03-27,,Roth IRA,768,254,4375.332352144094
Active,2013-06-02,,Brokerage,769,255,234251.7090815548
Active,2011-07-26,,529,770,255,14542.953713675597
Active,2009-05-07,,529,771,256,13811.690787186135
Active,2016-11-12,,Brokerage,772,256,11612.239451938012
Inactive,2012-11-02,2016-10-07,529,773,257,100910.80199636333
Active,2014-01-04,,Brokerage,774,257,13303.849173940396
Active,2016-04-15,,Roth IRA,775,257,8871.324503263919
Active,2012-12-09,,Traditional IRA,776,257,6266.973079399931
Active,2014-06-28,,Roth 401(k),777,257,24608.374718975243
Active,2008-12-12,,Brokerage,778,258,14829.68613319473
Active,2012-01-23,,Roth 401(k),779,258,10099.052093670847
Active,2013-03-29,,Traditional IRA,780,258,9043.523680608834
Active,2017-11-05,,529,781,258,17837.23265320178
Active,2016-12-28,,Roth IRA,782,259,7885.738376285633
Active,2018-07-22,,Traditional IRA,783,259,7955.101058926573
Inactive,2012-10-07,2016-10-15,Roth 401(k),784,259,20748.35785775161
Active,2017-08-17,,Brokerage,785,259,13055.300428217774
Active,2014-03-04,,529,786,259,15909.98199471287
Active,2013-09-17,,Roth IRA,787,260,297374.83150149183
Active,2017-12-20,,Traditional IRA,788,260,5757.9999173012175
Active,2009-06-11,,Roth IRA,789,261,20501.781677566218
Active,2017-09-23,,Traditional IRA,790,261,9324.544797961154
Active,2009-09-15,,529,791,261,187319.17721631165
Active,2015-04-05,,Brokerage,792,262,7004.932457009518
Active,2017-10-14,,Traditional IRA,793,262,13089.274487101327
Active,2010-02-20,,Brokerage,794,263,284024.0152914574
Inactive,2013-09-11,2015-10-26,Roth IRA,795,263,20866.701830464805
Inactive,2004-09-13,2013-06-12,529,796,263,64584.76895108843
Inactive,2018-05-11,2018-09-21,Brokerage,797,264,12486.854419381221
Active,2013-03-16,,Traditional IRA,798,264,23231.27690271047
Inactive,2014-08-04,2017-05-12,Traditional IRA,799,265,16856.17855830305
Active,2018-05-04,,Brokerage,800,266,19347.351789446548
Inactive,2017-12-15,2018-07-28,529,801,266,16400.80411637989
Active,2015-07-05,,Traditional IRA,802,267,22837.14119920994
Active,2007-06-27,,Roth 401(k),803,267,23624.770203838383
Active,2002-12-19,,529,804,267,19926.121858874267
Active,2014-04-08,,Roth IRA,805,268,2849.2072133126685
Active,2018-07-23,,Roth IRA,806,269,22406.113316382576
Active,2013-11-02,,Traditional IRA,807,270,288656.23618558986
Active,2011-12-11,,Roth IRA,808,270,7434.928902078241
Active,2012-02-11,,529,809,270,21122.839679115306
Active,2012-08-09,,Roth 401(k),810,270,12294.408982695873
Active,2011-10-26,,Brokerage,811,270,19249.73875048438
Active,2014-11-25,,529,812,271,14044.862077268906
Inactive,2017-12-07,2018-09-15,Traditional IRA,813,271,2388.4637197574534
Active,2018-06-01,,Roth 401(k),814,271,13667.072096945822
Active,2005-08-19,,Roth 401(k),815,272,24046.510570512648
Active,2013-07-10,,Brokerage,816,273,6546.309872367725
Active,2018-03-15,,Brokerage,817,274,18424.059408317255
Active,2017-12-11,,Traditional IRA,818,274,21126.13800781437
Active,2018-03-07,,Roth 401(k),819,274,12591.684413851386
Active,2018-06-26,,Roth IRA,820,274,289264.24467531045
Active,2016-06-26,,Brokerage,821,275,18424.838505240405
Active,2017-08-11,,529,822,275,207283.30739609062
Inactive,2018-02-11,2018-09-18,Roth IRA,823,275,8825.983399097338
Active,2017-09-13,,Brokerage,824,276,19870.86200830508
Active,2017-10-05,,Roth 401(k),825,277,23763.797137014924
Active,2018-01-02,,Roth IRA,826,277,5260.428732167101
Active,2017-01-02,,529,827,277,20025.28624133745
Active,2009-10-06,,Traditional IRA,828,278,7590.268190122938
Active,2006-08-24,,Roth IRA,829,279,3618.9261889330887
Active,2010-07-30,,Brokerage,830,279,12195.291173228145
Inactive,2011-12-02,2014-10-01,Roth IRA,831,280,285364.96017189586
Active,2018-03-25,,529,832,281,17678.353573449447
Active,2006-08-14,,Roth IRA,833,281,58802.419908286814
Inactive,2017-05-09,2018-03-10,Traditional IRA,834,282,16265.640979468013
Inactive,2017-08-06,2018-09-21,Roth 401(k),835,282,5554.0507116716935
Active,2016-09-08,,Brokerage,836,282,12915.41101909377
Active,2006-08-07,,529,837,283,52113.373513167455
Inactive,2018-03-01,2018-09-19,Roth IRA,838,283,9010.11447876666
Active,2006-09-15,,Traditional IRA,839,283,17631.43288701326
Active,2017-10-03,,Roth IRA,840,284,179879.09282786213
Active,2014-10-18,,Brokerage,841,284,4242.118020916307
Active,2009-09-03,,Traditional IRA,842,284,15860.428345544626
Active,2015-04-09,,529,843,284,12798.676030323695
Active,2013-10-02,,Roth 401(k),844,284,4488.093507169428
Active,2016-04-15,,Traditional IRA,845,285,17586.206252551456
Active,2014-12-06,,Brokerage,846,285,23235.053759626033
Active,2013-09-20,,Roth 401(k),847,285,10581.62056904009
Active,2018-04-14,,Traditional IRA,848,286,12216.809219839275
Active,2018-06-30,,529,849,286,82315.92920717738
Active,2018-04-19,,Roth 401(k),850,286,10997.154324398203
Inactive,2018-05-31,2018-09-08,Roth IRA,851,286,7718.431869345731
Active,2018-03-07,,Brokerage,852,286,22170.66830429399
Active,2012-12-01,,Brokerage,853,287,22245.99135741451
Active,2016-09-19,,529,854,287,19312.637568159793
Active,2017-06-15,,Traditional IRA,855,287,23282.11351418349
Active,2009-05-31,,Traditional IRA,856,288,4682.630560795793
Active,2012-02-09,,529,857,288,24572.197132516336
Active,2008-08-23,,Roth 401(k),858,288,294366.6166336854
Active,2004-04-22,,Brokerage,859,288,8020.416602067918
Inactive,2007-01-26,2017-01-05,529,860,289,3203.5161719080916
Active,2014-03-10,,Roth 401(k),861,289,126011.91053385362
Inactive,2018-06-22,2018-10-06,Traditional IRA,862,289,17427.787724532587
Active,2015-05-03,,Brokerage,863,289,183851.77594842223
Active,2007-09-04,,Roth IRA,864,289,9263.06714131458
Active,2007-01-06,,Roth IRA,865,290,21310.385114857407
Active,2018-02-16,,Brokerage,866,291,1047.845449408526
Active,2018-05-31,,Roth 401(k),867,291,17990.67144094157
Active,2014-10-06,,Roth IRA,868,292,20305.79414328553
Active,2011-07-10,,529,869,292,17157.39794030841
Active,2017-05-31,,Brokerage,870,292,12672.959129401625
Active,2010-10-10,,Roth 401(k),871,292,23522.854733968197
Active,2010-11-09,,Traditional IRA,872,292,2688.5523594177603
Active,2017-12-04,,529,873,293,12941.217879684738
Active,2017-01-08,,Brokerage,874,293,12467.853929708412
Inactive,2017-06-27,2018-06-06,Roth 401(k),875,293,17892.811294064843
Active,2018-03-03,,Roth IRA,876,293,6280.72636085433
Active,2018-07-03,,Traditional IRA,877,293,13442.55568037409
Inactive,2015-07-20,2017-10-26,529,878,294,1770.8801885907785
Active,2009-06-17,,Traditional IRA,879,294,11386.957369114289
Active,2007-09-14,,Roth IRA,880,294,16320.049220497434
Active,2015-12-27,,Brokerage,881,295,9860.890778014638
Active,2018-07-12,,Roth IRA,882,295,2978.631405645201
Active,2017-12-01,,Roth 401(k),883,295,13159.3658682753
Active,2016-09-06,,529,884,295,17875.560925038946
Active,2016-05-16,,Brokerage,885,296,17333.43942517369
Active,2017-09-05,,529,886,297,5787.901230215918
Active,2015-01-08,,Traditional IRA,887,297,24481.74801368003
Active,2014-02-01,,Roth IRA,888,297,17548.251600010055
Active,2018-05-04,,529,889,298,20367.355181270657
Active,2005-01-16,,Traditional IRA,890,299,3999.4253545886595
Active,2018-06-20,,Brokerage,891,299,20578.34711088381
Active,2012-04-02,,Roth 401(k),892,299,11394.99145960856
Active,2016-11-25,,Traditional IRA,893,300,1299.7714235413075
Active,2004-04-16,,Brokerage,894,300,11825.159566355644
Active,2009-04-29,,Roth 401(k),895,301,19684.846581309954
Active,2008-10-25,,Roth IRA,896,301,22998.709582566637
Active,2014-12-02,,Brokerage,897,301,1768.2953341548123
Active,2016-11-02,,Traditional IRA,898,301,24329.256134893254
Active,2010-07-31,,529,899,301,1521.9110662025068
Inactive,2015-12-25,2016-11-10,Roth IRA,900,302,22396.32678796924
Active,2017-05-08,,Roth 401(k),901,303,20243.603058541812
Active,2016-07-25,,Roth IRA,902,303,5526.467049752958
Active,2017-04-03,,Traditional IRA,903,303,237265.46580637732
Active,2016-02-14,,Brokerage,904,303,19664.14439862048
Active,2018-03-23,,529,905,303,23793.56804855592
Active,2004-03-03,,Traditional IRA,906,304,16836.996619639467
Active,2009-06-29,,Roth 401(k),907,304,5673.509406152847
Active,2010-04-18,,Traditional IRA,908,305,5686.78630276875
Active,2017-02-19,,Roth IRA,909,305,7052.724126499805
Active,2008-02-18,,Roth 401(k),910,306,14127.586486904003
Active,2011-10-04,,Roth IRA,911,306,5594.839727508025
Active,2016-04-10,,Brokerage,912,306,4881.512742816478
Inactive,2016-11-02,2018-09-19,Traditional IRA,913,307,14601.634603205117
Active,2016-08-20,,Roth IRA,914,307,8272.662462323096
Active,2017-05-24,,Brokerage,915,307,21196.129265082967
Active,2017-11-22,,Roth 401(k),916,307,12063.237663453605
Active,2016-11-17,,529,917,307,15430.719874843586
Active,2015-11-17,,529,918,308,21378.89157328941
Active,2012-01-14,,Roth IRA,919,309,10421.908847520683
Active,2010-05-04,,Traditional IRA,920,309,18896.19961039381
Active,2007-07-22,,Brokerage,921,309,21199.779847486996
Inactive,2005-06-07,2007-05-13,Roth 401(k),922,309,15543.606436509815
Active,2015-06-23,,529,923,309,19981.19184077039
Active,2016-12-31,,Traditional IRA,924,310,12923.475936697752
Active,2016-04-15,,529,925,310,124120.07349037008
Active,2016-08-05,,Roth IRA,926,310,7113.734222001066
Active,2017-03-18,,Brokerage,927,310,83346.07513680415
